date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:47:12	418234/418234	---MCZ	200	added ('OK')	text/html	etag:W/%2258d6fa82869b359a19e2d4122ac8edfc%22	https://somshubhraroy165.wixsite.com/somshubhra-roy-portf	C:/Users/EZIGO/Downloads/portfolio/somshubhraroy165.wixsite.com/somshubhra-roy-portf.html	(from )
02:47:12	322/322	---M--	200	added ('OK')	text/plain	date:Wed,%2021%20Jun%202023%2006:47:13%20GMT	https://somshubhraroy165.wixsite.com/robots.txt		(from )
02:47:13	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/EZIGO/Downloads/portfolio/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://somshubhraroy165.wixsite.com/somshubhra-roy-portf)
02:47:13	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/EZIGO/Downloads/portfolio/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://somshubhraroy165.wixsite.com/somshubhra-roy-portf)
02:47:13	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20May%202023%2000:17:37%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/EZIGO/Downloads/portfolio/polyfill.io/v3/polyfill.mind82c.js	(from https://somshubhraroy165.wixsite.com/somshubhra-roy-portf)
02:47:14	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/EZIGO/Downloads/portfolio/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://somshubhraroy165.wixsite.com/somshubhra-roy-portf)
02:47:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jun%202023%2006:47:15%20GMT	https://somshubhraroy165.wixsite.com/decodeURIComponent(e	C:/Users/EZIGO/Downloads/portfolio/somshubhraroy165.wixsite.com/decodeURIComponent(e	(from https://somshubhraroy165.wixsite.com/somshubhra-roy-portf)
02:47:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jun%202023%2006:47:15%20GMT	https://somshubhraroy165.wixsite.com/sitemap.xml	C:/Users/EZIGO/Downloads/portfolio/somshubhraroy165.wixsite.com/sitemap.xml	(from https://somshubhraroy165.wixsite.com/somshubhra-roy-portf)
02:47:14	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jun%202023%2006:47:16%20GMT	https://somshubhraroy165.wixsite.com/feed.xml	C:/Users/EZIGO/Downloads/portfolio/somshubhraroy165.wixsite.com/feed.xml	(from https://somshubhraroy165.wixsite.com/somshubhra-roy-portf)
02:47:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jun%202023%2006:47:16%20GMT	https://somshubhraroy165.wixsite.com/${n.uri}	C:/Users/EZIGO/Downloads/portfolio/somshubhraroy165.wixsite.com/${n.uri}	(from https://somshubhraroy165.wixsite.com/somshubhra-roy-portf)
02:47:15	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jun%202023%2006:47:16%20GMT	https://somshubhraroy165.wixsite.com/	C:/Users/EZIGO/Downloads/portfolio/somshubhraroy165.wixsite.com/index.html	(from https://somshubhraroy165.wixsite.com/somshubhra-roy-portf)
02:47:15	633/633	---M--	200	added ('OK')	text/xml	date:Wed,%2021%20Jun%202023%2006:47:16%20GMT	https://somshubhraroy165.wixsite.com/somshubhra-roy-portf/blog-feed.xml	C:/Users/EZIGO/Downloads/portfolio/somshubhraroy165.wixsite.com/somshubhra-roy-portf/blog-feed.xml	(from https://somshubhraroy165.wixsite.com/somshubhra-roy-portf)
02:47:15	867/867	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Jun%202023%2005:26:42%20GMT	https://static.wixstatic.com/media/91919f_14af244c11f741928f725b08f697277f~mv2.png/v1/fill/w_51,h_51,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/91919f_14af244c11f741928f725b08f697277f~mv2.png	C:/Users/EZIGO/Downloads/portfolio/static.wixstatic.com/media/91919f_14af244c11f741928f725b08f697277f_mv2.png/v1/fill/w_51,h_51,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/91919f_14af244c11f741928f725b08f697277f_mv2.png	(from https://somshubhraroy165.wixsite.com/somshubhra-roy-portf)
